"id","code","excel_col","description","excel_row","calculation_formula","excel_sheet","name","register_type","default_value"
"__export__.delsol_financial_state_row_4145","F46","","","","","","SUSC P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4146","F47","","","","","","SUSC P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4147","F48","","","","F42+F43+F44+F45+F46+F47","","SUSC P.AHORRO","Configuracion","0"
"__export__.delsol_financial_state_row_4148","F49","","","","","","Saldo Adhes.de Terceros","Configuracion","0"
"__export__.delsol_financial_state_row_4149","F5","","","","","","VOL. VTAS TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4150","F50","","","","","","SDO. ADH 3ROS","Configuracion","0"
"__export__.delsol_financial_state_row_4151","F51","","","","","","SDO. ADH 3ROS","Configuracion","0"
"__export__.delsol_financial_state_row_4152","F52","","","","","","SDO. ADH 3ROS","Configuracion","0"
"__export__.delsol_financial_state_row_4153","F53","","","","","","SDO. ADH 3ROS","Configuracion","0"
"__export__.delsol_financial_state_row_4154","F54","","","","","","SDO. ADH 3ROS","Configuracion","0"
"__export__.delsol_financial_state_row_4155","F55","","","","","","SDO. ADH 3ROS","Configuracion","0"
"__export__.delsol_financial_state_row_4156","F56","","","","F50+F51+F52+F53+F54+F55","","SDO. ADH 3ROS","Configuracion","0"
"__export__.delsol_financial_state_row_4157","F57","","","","N67","","Inventario Unid. Tradicionales","Configuracion","0"
"__export__.delsol_financial_state_row_4158","F58","","","","","","INV UN TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4159","F59","","","","","","INV UN TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4160","F6","","","","","","VOL. VTAS TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4161","F60","","","","","","INV UN TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4162","F61","","","","","","INV UN TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4163","F62","","","","","","INV UN TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4164","F63","","","","","","INV UN TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4165","F64","","","","F58+F59+F60+F61+F62+F63","","INV UN TRADIC","Configuracion","0"
"__export__.delsol_financial_state_row_4166","F65","","","","G81","","Cant. Personal Ocupado","Configuracion","0"
"__export__.delsol_financial_state_row_4167","F66","","","","","","CANT PERS OCUP.","Configuracion","0"
"__export__.delsol_financial_state_row_4168","F67","","","","","","CANT PERS OCUP.","Configuracion","0"
"__export__.delsol_financial_state_row_4169","F68","","","","","","CANT PERS OCUP.","Configuracion","0"
"__export__.delsol_financial_state_row_4170","F69","","","","","","CANT PERS OCUP.","Configuracion","0"
"__export__.delsol_financial_state_row_4171","F7","","","","","","VOL. VTAS TRADIC","Configuracion","0"
